Combination,Unavailability,Cost,Generation
af(2) bp(1) cp(2) fm(1) ht(2) if(2) me(3) mt(2) st(2) vm(3),0.13245305820277842,3.249968e6,499
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(3) mt(3) st(1) vm(3),0.16670116306139782,3.070967e6,499
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(2) mt(2) st(1) vm(2),0.21744539101334637,2.929968e6,499
af(1) bp(2) cp(2) fm(1) ht(2) if(2) me(3) mt(3) st(2) vm(3),0.12617886255858135,3.276968e6,499
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(1) mt(1) st(1) vm(1),0.3833088646388112,2.704967e6,498
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(2) mt(2) st(1) vm(1),0.30258292254617936,2.786967e6,498
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(2) mt(1) st(1) vm(1),0.29958747382185014,2.791968e6,498
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(2) mt(1) st(1) vm(2),0.2509109194827637,2.850967e6,498
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(2) mt(2) st(1) vm(2),0.21744539101334637,2.929968e6,498
af(1) bp(3) cp(2) fm(1) ht(2) if(2) me(3) mt(4) st(3) vm(3),0.11197012505899262,3.477968e6,498
af(1) bp(2) cp(2) fm(1) ht(2) if(2) me(3) mt(3) st(2) vm(3),0.12617886255858135,3.276968e6,498
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(1) mt(1) st(1) vm(1),0.3833088646388112,2.704967e6,498
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(2) mt(2) st(1) vm(1),0.30258292254617936,2.786967e6,498
af(3) bp(2) cp(2) fm(1) ht(2) if(2) me(3) mt(4) st(5) vm(3),0.10413984001904486,3.750968e6,497
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(3) mt(2) st(1) vm(3),0.17234606025744303,3.033967e6,497
af(3) bp(2) cp(2) fm(1) ht(2) if(2) me(3) mt(4) st(5) vm(3),0.10413984001904486,3.750968e6,497
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(3) mt(3) st(1) vm(3),0.14646362777569788,3.112968e6,497
af(1) bp(1) cp(2) fm(1) ht(2) if(2) me(3) mt(3) st(1) vm(2),0.18450439807490548,3.011968e6,497
af(1) bp(1) cp(1) fm(1) ht(2) if(2) me(3) mt(1) st(1) vm(3),0.18849937906850167,2.996967e6,496
